"Station Name","County","Station Type","Status","Status Date","Primary Responsible Entity","Primary Water Use","Artesian Well","Geothermal Well","Well Total Depth (ft)","Well Completion Date","Method Drilled","Well Construction ID","Metal Tags","USGS ID","Elevation (ft)","Height System","Time Zone","IDTM Easting","IDTM Northing","Latitude","Longitude","Method of Positioning"
"01N 01W 07CAB1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",461,1965-04-21,"---","388059","A0011264","432613116302601",2820,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2296914.85,1362599.52,43.4367499931424,-116.509388893416,"GPS"
"01N 01W 07DBB1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",NA,1990-04-10,"Cable","---","---","432613116300901",2800,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2297400.98,1362599.4,43.4368805276739,-116.503387704909,"Digitized"
"01N 01W 08BBC1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",426,1962-01-20,"Cable","---","---","432630116293301",2768,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2298220.23,1363094.11,43.441551957977,-116.493457053631,"Digitized"
"01N 01W 10CD1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",120,1972-09-29,"Cable","373438","---","---",3095,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2302077.97,1361900.03,43.4318390298399,-116.445395953151,"Digitized"
"01N 01W 11ABB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",265,1981-01-23,"Air Rotary","---","---","---",2920,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2304259.37,1362826.86,43.4407501359236,-116.418800018023,"Digitized"
"01N 01W 17CAB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","Yes",255,1991-07-25,"---","303839","A0011101","432520116291101",2743,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2298676.42,1360931.74,43.4222222196963,-116.487027824093,"GPS"
"01N 01W 18CCC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",520,1993-11-30,"Air Rotary","300626","---","432500116303901",2730,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2296652.88,1360362.14,43.4165520345681,-116.51178994177,"Digitized"
"01N 01W 19DC1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",457,1988-04-20,"Cable","---","---","---",2766,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2297650.36,1358767.88,43.4024801662802,-116.498890338726,"Digitized"
"01N 01W 22DDD1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",502,1966-04-11,"---","---","A0011265","432407116260001",2887,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2302879.66,1358526.48,43.4017009283193,-116.434282813268,"Digitized"
"01N 01W 24AAA1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",366,1965-06-05,"---","373919","A0002236","432452116234201",2880,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2306023.99,1359839.28,43.4143313230626,-116.395952160751,"Digitized"
"01N 01W 25BA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",144,1986-06-11,"Air Rotary","---","---","---",2925,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2305203.03,1358206.51,43.3994292746805,-116.40550204379,"Digitized"
"01N 01W 27ADD1","ADA","Well","Active",2020-06-18,"IDWR","Irrigation","No","No",500,1971-11-04,"Cable","369017","---","432344116255901",2904,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2302881.56,1357830.69,43.3954418774356,-116.434008646807,"Digitized"
"01N 01W 29DD1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",110,1983-12-05,"Cable","---","---","---",2817,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2299498.24,1357159.99,43.3885117295179,-116.47550197675,"Digitized"
"01N 01W 30AAD1","ADA","Well","Active",2020-06-18,"IDWR","Irrigation","No","Yes",360,1974-02-05,"Cable","387454","---","432351116293701",2803,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2298013.93,1358231.71,43.3977548172534,-116.494206673719,"GPS"
"01N 01W 33DA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",153,1982-04-29,"Cable","394912","---","---",2830,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2301066.05,1355898.35,43.3775790007194,-116.455704050573,"Digitized"
"01N 01W 34CD1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",279,1984-07-16,"Cable","---","---","---",2860,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2301471.58,1355615.43,43.3751411310508,-116.45060000151,"Digitized"
"01N 01W 36CC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",323,1985-09-24,"Air Rotary","---","---","---",3040,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2304703.98,1355512.29,43.3750609929154,-116.410698024333,"Digitized"
"01N 02E 01AAA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",385,1973-11-19,"Cable","399811","---","---",3160,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2325723.57,1364201.4,43.4584200270778,-116.15419798681,"Digitized"
"01N 02E 02BB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",526,1995-05-04,"Air Rotary","299234","---","---",3085,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2322742.07,1364129.05,43.4570690011397,-116.191001954712,"Digitized"
"01N 02E 03BC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",505,1994-03-30,"Air Rotary","300759","---","---",3050,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2321104.91,1363746.66,43.4532389616248,-116.211097946811,"Digitized"
"01N 02E 06AAA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","Yes",385,1973-11-19,"Cable","399811","---","---",3160,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2325723.57,1364201.4,43.4584200270778,-116.15419798681,"Digitized"
"01N 02E 06AB1","ADA","Well","Inactive",2020-06-18,"---","Industrial and Commercial","No","Yes",710,1995-10-13,"Mud Rotary","298889","---","---",2925,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317104.39,1364313.33,43.4573709821682,-116.260695955758,"Digitized"
"01N 02E 06BAA1","ADA","Well","Discontinued",2020-06-18,"---","Irrigation","No","No",535,1995-02-14,"Cable","---","---","432732116155501",2910,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2316663.55,1364484.43,43.4588025932911,-116.266198330459,"Digitized"
"01N 02E 06DDC2","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",NA,NA,"---","---","---","---",2905,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317333.6,1362927.88,43.4449615304895,-116.257401042463,"Digitized"
"01N 02E 07AAB1","ADA","Well","Discontinued",2020-06-18,"---","Domestic","No","No",NA,NA,"---","---","---","---",2905,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317104.4,1362837.43,43.4440917829277,-116.260201028684,"Digitized"
"01N 02E 07ABB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",NA,NA,"---","---","---","---",2900,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317311.7,1362711.4,43.4430084346022,-116.257599008515,"Digitized"
"01N 02E 07CA1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",500,1987-04-17,"Air Rotary","---","---","---",2875,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2316633.1,1361885.25,43.4354094576062,-116.265700958685,"Digitized"
"01N 02E 07CBB1","ADA","Well","Active",2020-06-18,"IDWR","Industrial and Commercial","No","No",455,1974-02-01,"Cable","---","---","432612116162101",2862,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2316009.57,1362029.59,43.436555261833,-116.273448053385,"Digitized"
"01N 02E 08ADA2","ADA","Well","Destroyed",2020-06-18,"---","Unused","No","Yes",400,1978-01-19,"---","348100","A0006850","432620116140102",2930,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2319059.52,1362243.44,43.4392222223591,-116.235861164631,"GPS"
"01N 02E 08ADA3","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","Yes",499,2009-06-12,"Air Rotary","426473","---","432620116140103",2930,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2319038.97,1362231.63,43.4391109975839,-116.236110993385,"GPS"
"01N 02E 08BBB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",NA,NA,"---","---","---","---",2915,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317734.59,1362788.98,43.4438094809205,-116.252402964009,"Digitized"
"01N 02E 09BB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",440,1992-09-11,"Air Rotary","302834","---","---",2950,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2319470.48,1362597.72,43.4425090285708,-116.230903945699,"Digitized"
"01N 02E 11CD1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",100,1973-09-19,"Cable","---","---","---",3000,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2323064.56,1361283.48,43.4315413625364,-116.186096047542,"Digitized"
"01N 02E 17AAD1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",NA,1976-05-01,"---","---","---","432534116133101",2908,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2319800.2,1360754.11,43.4260003720682,-116.226223978905,"Digitized"
"01N 02E 17AC1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",378,1994-09-28,"Air Rotary","299934","---","---",2905,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2318615.35,1360597.89,43.4243089548932,-116.240799009808,"Digitized"
"01N 02E 19DA1","ADA","Well","Inactive",2020-06-18,"---","Irrigation","No","No",440,1989-07-01,"Cable","---","---","---",2870,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2316958.76,1358652.06,43.406398783096,-116.260597004626,"Digitized"
"01N 02E 31AA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",87,1973-01-18,"Cable","---","---","---",2840,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2317274.03,1356231.95,43.3847007932908,-116.255898015084,"Digitized"
"01N 02E 32DA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",490,1994-07-24,"Air Rotary","299945","---","---",2900,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2318846.95,1355338.26,43.3770410158668,-116.236197957301,"Digitized"
"01N 02W 01ABC1","CANYON","Well","Inactive",2020-06-18,"---","---","No","No",365,1970-05-27,"Cable","---","---","---",2655,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2295940.27,1364750.36,43.4558333909739,-116.522223978358,"Digitized"
"01N 02W 03CA1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",500,1959-08-04,"---","399721","---","---",2698,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2292302.19,1364425.91,43.4519145127749,-116.567023939853,"Digitized"
"01N 02W 04DAC1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",800,1954-10-28,"---","399673","---","432659116343701",2721,"Professional Survey","(UTC-07:00) Mountain Time (US & Canada)",2291413.85,1364196.71,43.4496058860609,-116.577904774554,"Digitized"
"01N 02W 04DDC1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",685,1963-04-18,"---","373874","A0009471","432645116343001",2700,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2291514.55,1363774.2,43.4458333380506,-116.576500036826,"GPS"
"01N 02W 05ADD1","CANYON","Well","Active",2020-06-18,"IDWR","Irrigation","No","No",720,1961-06-19,"Cable","373869","A0009900","432708116353901",2675,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2290012.27,1364518.76,43.452111085495,-116.595333364201,"Digitized"
"01N 02W 06ADD1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","Yes",720,1956-04-12,"---","399672","A0009443","432709116365101",2728,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2288432.42,1364574.38,43.4521667062598,-116.614861096676,"GPS"
"01N 02W 07CA1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",800,1958-04-27,"---","373868","---","---",2690,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2287603.91,1362792.24,43.4359019575144,-116.624396952851,"Digitized"
"01N 02W 08DDD2","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",240,1974-04-30,"Cable","391748","---","---",2690,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2290167.82,1362141.52,43.4307710423018,-116.59249894123,"Digitized"
"01N 02W 09BB1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",655,1957-04-19,"---","---","---","---",2680,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2290428.53,1363488.33,43.4429588059335,-116.589798046747,"Digitized"
"01N 02W 09DDD2","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",252,1974-01-01,"---","---","---","432554116342101",2665,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2291711.53,1362180.3,43.4315505379994,-116.57346001035,"Digitized"
"01N 02W 10DAA1","CANYON","Well","Active",2020-06-18,"IDWR","Domestic","No","No",150,1980-12-19,"Air Rotary","397627","---","432613116331001",2660,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2293325.9,1362717.36,43.4368286149842,-116.553736858018,"Digitized"
"01N 02W 11DD1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","Yes",490,1994-11-19,"---","299386","---","---",2830,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2294850.28,1362128.45,43.4319499827453,-116.534698019474,"Digitized"
"01N 02W 14DAD1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",184,1978-01-01,"Cable","400905","---","---",2675,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2294966.74,1360898.87,43.4209210443902,-116.532798986834,"Digitized"
"01N 02W 15AA1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",260,1996-07-16,"Air Rotary","297456","---","---",2665,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2293210.91,1361781.57,43.4283790442381,-116.55480196888,"Digitized"
"01N 02W 15DCA1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",138,1976-05-12,"Cable","383893","---","---",2665,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2292927.72,1360730.94,43.4188499823639,-116.557899046157,"Digitized"
"01N 02W 17DDA1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",565,1959-06-20,"Cable","373923","A0014105","432510116353301",2718,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2290052.21,1360889.02,43.4194722028081,-116.593444536158,"Digitized"
"01N 02W 21ABA1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",254,1974-09-14,"Cable","392307","---","---",2690,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2291285.69,1360313.43,43.4146390184533,-116.578002988023,"Digitized"
"01N 02W 22DD1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",350,1993-01-05,"Air Rotary","302393","---","---",2680,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2293124.57,1358966.24,43.4030300184484,-116.554802019515,"Digitized"
"01N 02W 23DB1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",400,1992-10-23,"Air Rotary","---","---","---",2672,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2294350.88,1359313.42,43.4064903167127,-116.539802960257,"Digitized"
"01N 02W 24AAB1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",608,1977-06-28,"Cable","400111","---","---",2710,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2296306.35,1360246.98,43.4154220194354,-116.516023387793,"Digitized"
"01N 02W 25CAA1","CANYON","","",NA,"","","","",NA,NA,"","","","",NA,"","",2295420.45861068,1357663.02690348,43.3919364,-116.5259889,""
"01N 02W 25CC1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",370,1992-07-30,"Cable","303226","---","---",2650,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2295092.04,1357288.87,43.3884809952867,-116.529899987154,"Digitized"
"01N 02W 26BC1","CANYON","Well","Inactive",2020-06-18,"---","---","No","No",424,1963-08-29,"---","399471","---","---",2765,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2293501.52,1358289.81,43.3970490415425,-116.549896063113,"Digitized"
"01N 02W 29BAC1","CANYON","Well","Inactive",2020-06-18,"---","Irrigation","No","No",600,1971-04-24,"Cable","373435","---","---",2750,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2288888.04,1358538.15,43.3979989549848,-116.606903020923,"Digitized"
"01N 02W 35CDB1","CANYON","Well","Discontinued",2020-06-18,"---","Domestic","No","No",213,1977-08-02,"Cable","400112","A0018483","432232116330401",2600,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2293200.55,1355869.52,43.3751943638201,-116.552694539308,"GPS"
"01N 03E 04BBD1","ADA","Well","Active",2020-06-18,"IDWR","Domestic","No","No",735,1994-06-23,"Mud Rotary","300509","---","---",3250,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2329199.01,1363880.8,43.4563362409776,-116.111167284831,"Digitized"
"01N 03E 27BB1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",70,1976-02-26,"Cable","---","---","---",3145,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2330621.95,1357458.44,43.39886857799,-116.091599057915,"Digitized"
"01N 03E 28CAA1","ADA","Well","Inactive",2020-06-18,"---","Domestic","No","No",1010,2007-01-04,"Air Rotary","---","---","---",3393,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2329966.54,1366491.14,43.4799995297244,-116.102500952689,"Digitized"
"01N 03W 02CCA1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","No",501,1978-11-27,"Cable","---","---","---",2740,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2284084.67,1364230.22,43.447830184423,-116.668404025869,"Digitized"
"01N 03W 02CCB1","CANYON","Well","Inactive",2020-06-18,"---","Domestic","No","Yes",1000,1946-01-01,"Cable","---","---","432652116401701",2730,"PLSS/Topo","(UTC-07:00) Mountain Time (US & Canada)",2283896.68,1364434.24,43.4496110409705,-116.670805633072,"GPS"
"01N 03W 03DDD1","CANYON","Well","Active",2020-06-18,"IDWR","Domestic","No","No",731,1969-04-14,"Cable","369041","---","432646116402101",2720,"Digitized","(UTC-07:00) Mountain Time (US & Canada)",2283675.21,1364076.6,43.4463302864962,-116.673398056784,"GPS"
