_id,site_code,stn_id,swn,well_name,continuous_data_station_number,latitude,longitude,gse,rpe,gse_method,gse_acc,basin_code,basin_name,county_name,well_depth,well_use,well_type,wcr_no,monitoring_program,geology
838,331610N1162372W001,51018,,Dr. Nel,,33.16097,-116.23723,726.84,726.5,GPS,0.1 ft.,7-024.02,Ocotillo Wells,San Diego,844.0,Observation,Single Well,,CASGEM,['Qoa']
840,331742N1162666W001,13230,11S07E32Q001S,11S07E32Q001S,,33.17399,-116.26437,693.5,694.43,USGS quad,Unknown,7-024.01,Borrego Springs,San Diego,418.0,Irrigation,Single Well,,VOLUNTARY,['Qoa']
843,331908N1162867W001,59448,11S07E30L001S,Air Ranch,,33.19083,-116.28673,560.0,562.65,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,380.0,Residential,Single Well,460135,SGMA,['Q']
854,331981N1162958W001,59453,,RH-1,,33.19812,-116.29585,526.32,526.9,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,600.0,Irrigation,Single Well,,SGMA,['Q']
855,331981N1162959W001,47842,11S06E25A001S,ID1-1,,33.19812,-116.29585,525.26,527.54,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,600.0,Irrigation,Single Well,,VOLUNTARY,['Q']
867,332032N1163143W001,47836,11S06E23J002S,MW-3,,33.20316,-116.31434,522.65,523.36,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,325.0,Observation,Single Well,e011052,SGMA,['Q']
924,332116N1163340W001,47841,11S06E22B001S,Paddock,,33.21159,-116.33403,536.47,537.1,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,430.0,Observation,Single Well,,SGMA,['Q']
977,332165N1163624W001,59456,,ID1-16,,33.21656,-116.36244,619.67,620.15,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,705.0,Public Supply,Single Well,338383,SGMA,['Q']
1017,332210N1163376W001,55299,11S06E15G001S,11S06E15G001S,,33.22096,-116.33761,508.85,509.85,Surveyed to a benchmark,Unknown,7-024.01,Borrego Springs,San Diego,280.0,Residential,Single Well,,VOLUNTARY,['Q']
1075,332260N1163483W001,59451,11S06E16A002S,ID1-12,,33.22603,-116.34832,532.65,533.2,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,580.0,Public Supply,Single Well,157263,SGMA,['Q']
1082,332265N1162793W001,59447,11S07E07R001S,MW-5A,,33.22656,-116.27935,466.45,466.11,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,345.0,Observation,Single Well,1084529,SGMA,['Q']
1083,332265N1162793W002,59454,,MW-5B,,33.22656,-116.27935,465.14,464.8,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,160.0,Observation,Single Well,1084530,SGMA,['Q']
1084,332266N1162794W001,51153,11S07E07R002S,MW-5B,,33.22655,-116.27935,465.14,464.8,Unknown,Unknown,7-024.01,Borrego Springs,San Diego,160.0,Observation,Part of a nested/multi-completion well,1084530,CASGEM,['Q']
1173,332316N1163887W001,47839,11S06E07Q002S,ID4-2,,33.2316,-116.38873,709.58,711.71,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,380.0,Observation,Single Well,126538,SGMA,['Q']
1260,332367N1167165W001,47913,11S03E06D001S,90,,33.23668,-116.71652,2736.0,2738.0,Other,10 ft.,9-008,Warner Valley,San Diego,480.0,Observation,Single Well,,CASGEM,['Qoa']
1267,332370N1163643W001,59452,11S06E09E001S,ID5-5,,33.23707,-116.3643,576.36,576.36,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,700.0,Public Supply,Single Well,765054,SGMA,['Q']
1303,332391N1173818W001,51156,,11D4,,33.23913,-117.38175,20.6,22.49,GPS,0.1 ft.,9-004,Santa Margarita Valley,San Diego,109.0,Observation,Single Well,,CASGEM,['M']
1458,332486N1166558W001,47912,11S03E03G001S,82,,33.24859,-116.65576,2987.0,2989.0,Other,10 ft.,9-008,Warner Valley,San Diego,427.0,Observation,Single Well,09617,CASGEM,['Qoa']
1584,332570N1163047W001,24468,11S06E01C001S,11S06E01C001S,,33.25725,-116.30475,519.42,519.42,Surveyed to a benchmark,Unknown,7-024.01,Borrego Springs,San Diego,425.0,Observation,Single Well,,VOLUNTARY,['Q']
1586,332573N1163261W001,59455,,Airport 2,,33.25738,-116.3261,516.91,517.49,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,400.0,Observation,Single Well,158023,SGMA,['Q']
1589,332574N1163559W001,47840,10S06E33Q001S,ID4-5,,33.25743,-116.35589,551.97,552.07,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,650.0,Observation,Single Well,,SGMA,['Q']
1595,332576N1163131W001,47837,10S06E35Q001S,MW-4,,33.25756,-116.3131,517.75,517.33,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,390.0,Observation,Single Well,1084528,SGMA,['Q']
1700,332675N1163833W001,59450,10S06E32D001S,ID4-11,,33.2675,-116.38336,613.72,614.72,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,770.0,Public Supply,Single Well,460084,SGMA,['Q']
1731,332704N1164041W001,55296,10S05E25R001S,10S05E25R001S,,33.27043,-116.40409,732.45,733.92,USGS quad,Unknown,7-024.01,Borrego Springs,San Diego,500.0,Residential,Single Well,e0121088,VOLUNTARY,['Q']
1762,332742N1166846W001,47892,10S03E28M001S,43,,33.27417,-116.68459,2822.0,2824.0,Other,10 ft.,9-008,Warner Valley,San Diego,450.0,Observation,Single Well,,CASGEM,['Qoa']
1789,332771N1163743W001,59449,10S06E29K002S,ID4-4,,33.27714,-116.37433,597.55,598.11,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,802.0,Public Supply,Single Well,61425,SGMA,['Q']
1807,332801N1163022W001,55298,10S06E25G001S,10S06E25G001S,,33.28005,-116.30223,569.0,570.06,USGS quad,Unknown,7-024.01,Borrego Springs,San Diego,516.0,Irrigation,Single Well,,VOLUNTARY,['Q']
1843,332839N1167395W001,31627,10S02E26A001S,31,,33.2839,-116.7383,2723.0,2725.0,Other,10 ft.,9-008,Warner Valley,San Diego,252.0,Observation,Single Well,,CASGEM,['Q']
1860,332862N1169589W001,58286,,MW-5,,33.28623,-116.95898,997.61,1000.24,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,340.0,Public Supply,Single Well,,SGMA,['Qoa']
1864,332867N1167043W001,32060,10S03E19R001S,29,,33.28699,-116.7032,2795.0,2798.0,Other,10 ft.,9-008,Warner Valley,San Diego,270.0,Observation,Single Well,,CASGEM,['Q']
1906,332910N1169506W001,58285,,MW-4,,33.29106,-116.95067,1199.12,1199.66,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,405.0,Public Supply,Single Well,,SGMA,['Qoa']
1922,332930N1169479W001,58284,,MW-3,,33.29306,-116.94793,1276.59,1278.2,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,368.0,Public Supply,Single Well,,SGMA,['Qoa']
1923,332931N1169754W001,58287,,MW-6,,33.29319,-116.97542,802.56,805.36,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,210.0,Public Supply,Single Well,,SGMA,['Q']
1946,332953N1169732W001,58288,,MW-7,,33.29535,-116.97329,800.4,801.9,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,265.0,Public Supply,Single Well,,SGMA,['Qoa']
1963,332967N1169779W001,58289,,MW-8,,33.29672,-116.97796,797.25,799.7,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,214.0,Public Supply,Single Well,,SGMA,['Q']
1972,332980N1163843W001,59444,10S06E18R001S,ID4-3,,33.29804,-116.38434,665.66,667.16,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,621.0,Public Supply,Single Well,,SGMA,['Q']
1974,332983N1169764W001,58290,,MW-9,,33.29833,-116.97647,796.52,798.24,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,240.0,Public Supply,Single Well,,SGMA,['Q']
1980,332992N1169389W001,58282,,MW-1,,33.29922,-116.93894,1588.91,1590.91,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,371.0,Public Supply,Single Well,,SGMA,['Qoa']
1988,332993N1169389W001,51234,,Yuima 21A,,33.29373,-116.97562,803.0,803.0,Unknown,Unknown,9-007.01,Upper San Luis Rey Valley,San Diego,251.0,Observation,Single Well,534749,VOLUNTARY,['Q']
1998,333006N1163495W001,47835,10S06E21A002S,MW-1,,33.30063,-116.34947,636.73,636.33,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,900.0,Observation,Single Well,e013685,SGMA,['Q']
2000,333006N1173599W001,51155,,MW-2E,,33.30063,-117.3599,70.84,73.05,GPS,0.1 ft.,9-004,Santa Margarita Valley,San Diego,143.0,Observation,Part of a nested/multi-completion well,,CASGEM,['Q']
2005,333013N1169446W001,58283,,MW-2,,33.30138,-116.9446,1531.64,1533.45,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,582.0,Public Supply,Single Well,,SGMA,['Qoa']
2014,333025N1169805W001,58291,,MW-10,,33.30257,-116.98055,805.98,808.66,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,229.0,Public Supply,Single Well,,SGMA,['Qoa']
2049,333061N1163240W001,55297,10S06E14G001S,10S06E14G001S,,33.30611,-116.32398,618.41,621.7,Unknown,Unknown,7-024.01,Borrego Springs,San Diego,420.0,Unknown,Single Well,,VOLUNTARY,['Q']
2054,333067N1163847W001,59446,10S06E18J001S,ID4-18,,33.30675,-116.38471,690.46,690.96,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,570.0,Public Supply,Single Well,230419,SGMA,['Q']
2056,333069N1169922W001,58292,,MW-11,,33.30699,-116.99227,765.32,768.07,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,200.0,Public Supply,Single Well,,SGMA,['Q']
2066,333082N1169933W001,58293,,MW-12,,33.30822,-116.99332,759.12,762.18,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,204.0,Public Supply,Single Well,,SGMA,['Q']
2096,333103N1166879W001,12599,10S03E17H001S,62,,33.31043,-116.68671,2919.0,2921.0,Other,10 ft.,9-008,Warner Valley,San Diego,245.0,Observation,Single Well,,CASGEM,['Qoa']
2128,333145N1163666W001,59445,10S06E09N001S,Fortiner,,33.31453,-116.36669,713.49,713.52,GPS,0.1 ft.,7-024.01,Borrego Springs,San Diego,634.0,Residential,Single Well,,SGMA,['Q']
2173,333197N1169970W001,58300,,MW-19,,33.31972,-116.997,808.37,811.47,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,325.0,Irrigation,Single Well,,SGMA,['Qoa']
2175,333198N1173328W001,51154,,7J4,,33.31983,-117.33278,94.44,95.79,GPS,0.1 ft.,9-004,Santa Margarita Valley,San Diego,75.0,Observation,Single Well,,CASGEM,['Q']
2217,333250N1163678W001,60383,10S06E08A003S,BWD-01A / MW-6S,,33.32508,-116.36781,746.17,553.59,Unknown,Unknown,7-024.01,Borrego Springs,San Diego,520.0,Observation,Single Well,WCR2023-004574,VOLUNTARY,['Q']
2218,333250N1163678W002,60384,10S06E08A002S,BWD-01B / MW-6D,,33.32501,-116.3678,746.49,553.59,Surveyed to a benchmark,0.1 ft.,7-024.01,Borrego Springs,San Diego,780.0,Observation,Single Well,WCR2023-004573,VOLUNTARY,['Q']
2225,333265N1169860W001,58299,,MW-18,,33.32657,-116.986,952.39,954.96,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,375.0,Irrigation,Single Well,,SGMA,['Q']
2281,333347N1170116W001,58304,,MW-23,,33.33472,-117.01166,708.32,710.57,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,231.0,Public Supply,Single Well,,SGMA,['Q']
2290,333358N1170096W001,58305,,MW-24,,33.33585,-117.00961,716.73,719.66,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,364.0,Public Supply,Single Well,,SGMA,['Qoa']
2311,333384N1171370W001,11869,10S02W06F002S,10S02W06F002S,,33.3383,-117.13485,285.22,285.22,Unknown,Unknown,9-007.01,Upper San Luis Rey Valley,San Diego,106.0,Observation,Single Well,,VOLUNTARY,['Q']
2313,333387N1170067W001,58306,,MW-25,,33.33874,-117.00678,757.7,760.77,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,910.0,Public Supply,Single Well,,SGMA,['Qoa']
2318,333395N1170148W001,51233,,MW-27 (Yuima PVW2),,33.33954,-117.01475,686.0,686.0,Unknown,Unknown,9-007.01,Upper San Luis Rey Valley,San Diego,241.0,Other,Single Well,,SGMA,['Qoa']
2322,333398N1170150W001,58311,,MW-27,,33.33988,-117.01502,681.03,682.37,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,241.0,Public Supply,Single Well,,VOLUNTARY,['Qoa']
2391,333472N1170272W001,51205,,WG-1,,33.3472,-117.0272,610.0,611.4,Unknown,Unknown,9-007.01,Upper San Luis Rey Valley,San Diego,100.0,Industrial,Single Well,266127,VOLUNTARY,['Qoa']
2409,333493N1164003W001,55295,09S06E31E003S,09S06E31E003S,,33.34928,-116.40033,930.35,932.53,USGS quad,Unknown,7-024.01,Borrego Springs,San Diego,350.0,Irrigation,Single Well,909537,VOLUNTARY,['Q']
2472,333580N1170415W001,58310,,MW-30,,33.35809,-117.04156,499.34,501.05,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,140.0,Irrigation,Single Well,,SGMA,['Qoa']
2493,333600N1170123W001,58309,,MW-29,,33.36006,-117.01237,1247.15,1248.98,Digital Elevation Model,10 ft.,9-007.01,Upper San Luis Rey Valley,San Diego,220.0,Irrigation,Single Well,,SGMA,['grMz']
2952,334262N1160792W001,47731,08S09E31R001S,08S09E31R001S,,33.42617,-116.07917,-15.562,-15.562,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,442.0,Observation,Single Well,,VOLUNTARY,['Q']
2954,334268N1160610W001,56775,08S09E33N001S,KW_057,,33.42686,-116.061,-130.3,-129.5,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,356.0,Unknown,Single Well,Unknown,SGMA,['Q']
3044,334416N1161083W001,51668,08S08E25P001S,LCV - 8SE,,33.4416,-116.10827,81.23,80.78,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,443.0,Observation,Single Well,WCR2003-016052,VOLUNTARY,['Qoa']
3122,334523N1160836W001,56774,08S09E30A001S,KW_056,,33.45236,-116.08367,-149.1,-147.9,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,595.0,Unknown,Single Well,Unknown,SGMA,['Q']
3175,334625N1161051W001,56772,08S08E24L001S,KW_054,,33.46253,-116.10517,-107.5,-106.2,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,550.0,Unknown,Single Well,Unknown,SGMA,['Q']
3186,334631N1171048W001,39409,08S02W20J001S,Wolf Valley 20J01,,33.4631,-117.1048,1076.0,1076.0,Unknown,Unknown,9-005,Temecula Valley,Riverside,575.0,Observation,Single Well,,CASGEM,['Q']
3187,334631N1171048W002,8337,08S02W20J002S,Wolf Valley 20J02,,33.4631,-117.1048,1076.0,1076.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,575.0,Observation,Single Well,,CASGEM,['Q']
3222,334686N1176782W001,46014,08S08W23A001S,MW-01N,,33.46863,-117.6782,26.51,26.96,Surveyed to a benchmark,0.1 ft.,,,Orange,100.0,Observation,Part of a nested/multi-completion well,,CASGEM,['Q']
3223,334686N1176782W002,46015,,MW-01S,,33.46863,-117.6782,26.27,26.57,Surveyed to a benchmark,0.1 ft.,,,Orange,125.0,Observation,Part of a nested/multi-completion well,,CASGEM,['Q']
3227,334694N1171156W001,48797,,RCWD 495,,33.46944,-117.11564,1028.5,1030.2,GPS with WAAS,2.5 ft.,9-005,Temecula Valley,Riverside,1020.0,Observation,Single Well,,CASGEM,['Q']
3242,334721N1171186W001,38605,08S02W19A001S,Pala Park 19A01,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1490.0,Observation,Single Well,,CASGEM,['Q']
3243,334721N1171186W002,25712,08S02W19A002S,Pala Park 19A02,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1490.0,Observation,Single Well,,CASGEM,['Q']
3244,334721N1171186W003,25713,08S02W19A003S,Pala Park 19A03,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1490.0,Observation,Single Well,,CASGEM,['Q']
3245,334721N1171186W004,39912,08S02W19A004S,Pala Park 19A04,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1490.0,Observation,Single Well,,CASGEM,['Q']
3246,334721N1171186W005,25714,08S02W19A005S,Pala Park 19A05,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1490.0,Observation,Single Well,,CASGEM,['Q']
3247,334721N1171186W006,24464,08S02W19A006S,Pala Park 19A06,,33.4721,-117.1186,1017.0,1017.0,USGS quad,2.5 ft.,9-005,Temecula Valley,Riverside,1409.0,Observation,Single Well,,CASGEM,['Q']
3250,334728N1171101W001,8335,08S02W20C001S,RCWD 492,,33.4728,-117.1101,1028.7,1032.6,GPS with WAAS,2.5 ft.,9-005,Temecula Valley,Riverside,250.0,Unknown,Single Well,,CASGEM,['Q']
3288,334798N1171017W001,48779,08S02W17J001S,RCWD 468,,33.47984,-117.10174,1052.5,1053.1,GPS with WAAS,2.5 ft.,9-005,Temecula Valley,Riverside,910.0,Observation,Single Well,,CASGEM,['Q']
3300,334817N1176783W001,46016,08S08W12A002S,MW-02,,33.48167,-117.6783,49.6,49.23,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,74.0,Observation,Single Well,,CASGEM,['Q']
3311,334843N1160942W001,47736,08S09E07N004S,08S09E07N004S,,33.48433,-116.09417,-204.685,-204.685,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,1380.0,Observation,Single Well,775785,VOLUNTARY,['Q']
3312,334844N1160957W001,56773,08S09E07N003S,KW_055,,33.4845,-116.09571,-206.4,-206.4,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,1380.0,Unknown,Single Well,Unknown,SGMA,['Q']
3319,334852N1161560W001,51664,08S08E09P002S,LCV - 8d,,33.48515,-116.15599,44.36,44.06,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,350.0,Observation,Part of a nested/multi-completion well,WCR2004-016512,VOLUNTARY,['Q']
3320,334852N1161560W002,51665,08S08E09P003S,LCV - 8s,,33.48515,-116.15599,44.36,44.06,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,307.0,Observation,Part of a nested/multi-completion well,WCR2004-016512,VOLUNTARY,['Q']
3341,334889N1161645W001,51666,08S08E09M001S,LCV - 8Nd,,33.48889,-116.16452,114.39,113.87,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,329.0,Observation,Part of a nested/multi-completion well,e038073,VOLUNTARY,['Q']
3342,334889N1161645W002,51667,08S08E09M002S,LCV - 8Ns,,33.48889,-116.16452,114.39,113.84,Surveyed to a benchmark,Unknown,7-021.01,Indio,Riverside,211.0,Observation,Part of a nested/multi-completion well,e038073,VOLUNTARY,['Q']
3344,334890N1176668W001,46017,08S08W12L001S,MW-03,,33.48899,-117.66678,67.86,66.85,Surveyed to a benchmark,0.1 ft.,,,Orange,126.0,Observation,Single Well,,CASGEM,['M']
3448,334984N1176655W001,46021,08S08W01Q008S,MW-07,,33.49836,-117.66554,92.54,92.54,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,91.0,Observation,Single Well,,CASGEM,['Q']
3462,335006N1176517W001,46018,08S07W06P004S,MW-04,,33.50064,-117.65169,95.32,94.94,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,90.0,Observation,Single Well,,CASGEM,['Q']
3472,335029N1170760W001,48775,,RCWD 465,,33.50287,-117.07604,1183.0,1184.4,GPS with WAAS,2.5 ft.,9-005,Temecula Valley,Riverside,820.0,Observation,Single Well,,CASGEM,['Qoa']
3479,335045N1176466W001,46019,08S07W06J004S,MW-05,,33.50453,-117.64664,106.31,109.17,Surveyed to a benchmark,0.1 ft.,,,Orange,90.0,Observation,Single Well,,CASGEM,['Q']
3483,335060N1161430W001,56771,08S08E03L001S,KW_053,,33.50603,-116.14301,-56.2,-56.2,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,618.0,Unknown,Single Well,Unknown,SGMA,['Q']
3488,335069N1176425W001,46020,08S07W06H004S,MW-06,,33.50691,-117.6425,119.04,121.83,Surveyed to a benchmark,0.1 ft.,9-001,San Juan Valley,Orange,93.0,Observation,Single Well,,CASGEM,['Q']
3495,335075N1161553W001,47746,07S08E31R001S,07S08E31R001S,,33.5075,-116.15533,238.457,238.457,Surveyed to a benchmark,0.1 ft.,7-021.01,Indio,Riverside,800.0,Observation,Single Well,,VOLUNTARY,['Q']
3504,335089N1171459W001,29597,08S03W01P002S,RCWD 466,,33.5089,-117.1459,1067.5,1069.6,GPS with WAAS,2.5 ft.,9-005,Temecula Valley,Riverside,820.0,Unknown,Single Well,,CASGEM,['Q']
